method,variant_id,method_instance,k,r,descent_sharpness,n_runs,n_cells_observed,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p1,0.93,0.1,0.7257069283483537,1800,36,720,0.4,31517.863970389128,105.70899490384652,51.94166666666667,45.90555555555556,50.954166666666666,52.159556352585355,42.97844524147425,9.18111111111111,0.8116666726371337,0.010605537648841265,0.030373660238992725
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p15,0.93,0.15,0.4838046188989025,1800,36,720,0.4,35330.26894330818,135.29896614275162,42.81805555555555,55.49861111111111,41.81805555555555,57.48280543702011,40.833222103686786,16.649583333333336,0.6981417493458335,0.011065707479774499,0.030314190969995124
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p2,0.93,0.2,0.36285346417417685,1800,36,720,0.4,40041.20868504205,153.7899273715955,36.69166666666667,62.11388888888889,35.69166666666667,63.57432434514879,38.72876878959323,24.84555555555555,0.5984453831910144,0.011317549195331941,0.030366835301937744
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p25,0.93,0.25,0.2902827713393415,1800,36,720,0.4,49135.94478457795,173.6927223953895,32.09027777777778,66.83888888888889,31.09027777777778,70.23383170426436,36.81438725981992,33.419444444444444,0.5157326985365913,0.011453949329830291,0.03044587587582244
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p02,0.95,0.02,2.5646647193775287,1800,36,720,0.4,30784.239580813843,57.38658162643712,86.99027777777778,11.393055555555556,86.43194444444444,48.24473462814907,47.78901240592684,0.45572222222222236,0.9880695394985962,0.007170955419717391,0.0251273225817943
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p03,0.95,0.03,1.7097764795850194,1800,36,720,0.4,30781.536760542185,59.86892042713923,81.25138888888888,16.523611111111112,80.51666666666667,48.56250940782384,47.57109274115717,0.991416666666667,0.9752044259830289,0.00694378496823361,0.02470845290863649
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p05,0.95,0.05,1.0258658877510114,1800,36,720,0.4,30803.840024057914,67.60487782028238,70.47916666666667,26.6125,69.5736111111111,49.5111843031526,46.8499343031526,2.66125,0.9384989705886543,0.006981439883871871,0.023951585114953752
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p07,0.95,0.07,0.7327613483935796,1800,36,720,0.4,30955.281268173247,81.60568029988804,62.519444444444446,34.34027777777778,61.56805555555555,50.85172465733537,46.04408576844648,4.807638888888889,0.8955334876744748,0.007403692762710639,0.023623974479953007
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p1,0.95,0.1,0.5129329438755057,1800,36,720,0.4,32130.953150229412,103.85063408081574,53.96527777777778,43.31666666666667,52.977777777777774,53.370615669194194,44.70728233586086,8.66333333333333,0.8258128621726362,0.007884082700360631,0.023459339739503725
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p15,0.95,0.15,0.34195529591700385,1800,36,720,0.4,35832.63229148419,136.98414619297216,44.209722222222226,53.916666666666664,43.209722222222226,58.52953218101976,42.35453218101975,16.175000000000004,0.7115484229681867,0.008461234589288782,0.02332453554342802
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p2,0.95,0.2,0.25646647193775285,1800,36,720,0.4,42737.4627485152,148.86782924321022,37.88333333333333,60.798611111111114,36.88333333333333,64.49434051788019,40.174896073435754,24.319444444444436,0.6121872099399419,0.008713795968320425,0.02306930176272026
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p25,0.95,0.25,0.2051731775502023,1800,36,720,0.4,50141.24685607596,166.3098349690878,32.93611111111111,65.68472222222222,31.93611111111111,71.05879848257234,38.21643737146123,32.84236111111111,0.5293832726098414,0.008937938676854303,0.02310876786107129
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p02,0.97,0.02,1.5229603742354287,1800,36,720,0.4,34616.08065215659,64.82568804047196,89.37777777777778,8.922222222222222,88.92222222222222,51.19204403156962,50.83515514268072,0.3568888888888889,0.9908496102204087,0.004551214103558415,0.01784393153822119
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p03,0.97,0.03,1.0153069161569526,1800,36,720,0.4,34612.53435435992,65.74747938244586,84.15416666666667,13.71111111111111,83.49027777777778,51.46569316028991,50.643026493623246,0.8226666666666668,0.9799498796198767,0.0042645088224730916,0.01760417354072549
