method,variant_id,method_instance,function,dimension,noise_sigma,k,r,descent_sharpness,n_runs,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,sphere,40,0.0,0.86,0.02,7.541144486729183,50,5,0.1,2.4971125757073662,2.3119963129102565,100.0,0.0,100.0,73.99975039285603,73.99975039285603,0.0,1.0,-0.0008278643556004015,0.04585138579094019
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,sphere,40,0.1,0.86,0.02,7.541144486729183,50,5,0.1,2.5552272176406383,2.4248893061810595,100.0,0.0,100.0,74.12423994523589,74.12423994523589,0.0,1.0,-0.0004913319998630405,0.0443575054505419
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,sphere,40,0.2,0.86,0.02,7.541144486729183,50,5,0.1,2.4983555107267095,2.376894960515761,100.0,0.0,100.0,79.26464816683885,79.26464816683885,0.0,1.0,-0.0005504496043461247,0.04368847239018483
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,ellipsoid_cond1e6,10,0.0,0.86,0.03,5.0274296578194555,50,5,0.1,814.3955890449492,713.4521169247885,71.0,9.4,70.2,29.630383840929408,29.06638384092941,0.5640000000000001,0.9792149501033827,0.04674664462307253,0.07093873510036856
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,ellipsoid_cond1e6,10,0.1,0.86,0.03,5.0274296578194555,50,5,0.1,813.7124806154523,712.4649367018151,71.0,9.4,70.2,29.630383840929408,29.06638384092941,0.5640000000000001,0.9792149501033827,0.04674664462307253,0.07093873510036856
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,ellipsoid_cond1e6,10,0.2,0.86,0.03,5.0274296578194555,50,5,0.1,828.7371573235786,675.2147613228439,71.0,9.4,70.2,29.641539937050073,29.077539937050073,0.5640000000000001,0.9792178025890911,0.04674664462307253,0.07093873510036856
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,ellipsoid_cond1e6,20,0.0,0.86,0.03,5.0274296578194555,50,5,0.1,30124.269821300935,25810.475888527726,98.4,1.4,98.0,39.37015055307697,39.286150553076965,0.08399999999999999,0.9978184065473007,0.03129941668639015,0.06766392978647186
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,ellipsoid_cond1e6,20,0.1,0.86,0.03,5.0274296578194555,50,5,0.1,30093.332935599257,25810.362169864227,98.4,1.4,98.0,39.37015055307697,39.286150553076965,0.08399999999999999,0.9978184065473007,0.03129941668639015,0.06766392978647186
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,ellipsoid_cond1e6,20,0.2,0.86,0.03,5.0274296578194555,50,5,0.1,30007.97057661772,25362.081830432566,98.4,1.4,98.0,39.37015055307697,39.286150553076965,0.08399999999999999,0.9978184065473007,0.03129941668639015,0.06766392978647186
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,ellipsoid_cond1e6,40,0.0,0.86,0.03,5.0274296578194555,50,5,0.1,264338.4701607547,263396.7690536977,100.0,0.0,100.0,48.61665896390845,48.61665896390845,0.0,1.0,0.024991057571619384,0.06157963435988031
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,ellipsoid_cond1e6,40,0.1,0.86,0.03,5.0274296578194555,50,5,0.1,264338.4562707491,263396.6903025171,100.0,0.0,100.0,48.61665896390845,48.61665896390845,0.0,1.0,0.024991057571619384,0.06157963435988031
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,ellipsoid_cond1e6,40,0.2,0.86,0.03,5.0274296578194555,50,5,0.1,264338.4616192842,263396.95753505715,100.0,0.0,100.0,48.61665896390845,48.61665896390845,0.0,1.0,0.024991057571619384,0.06157963435988031
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,rastrigin,10,0.0,0.86,0.03,5.0274296578194555,50,5,0.1,19.8356779460685,18.16210520195534,54.0,47.0,53.0,36.84264251988103,34.02264251988103,2.8200000000000003,0.9118295378297455,0.03126298670515807,0.06716081852129277
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,rastrigin,10,0.1,0.86,0.03,5.0274296578194555,50,5,0.1,22.116468269985976,18.30802388582847,49.4,51.0,48.4,35.132750174842805,32.0727501748428,3.06,0.8993932114812209,0.0414108029174706,0.07327611035682356
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,rastrigin,10,0.2,0.86,0.03,5.0274296578194555,50,5,0.1,20.124729718723408,18.07700315381274,49.8,50.4,48.8,32.25915493197529,29.235154931975295,3.024,0.8926781261672708,0.033139915338622136,0.07038628828417692
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,rastrigin,20,0.0,0.86,0.03,5.0274296578194555,50,5,0.1,63.05772858291348,61.617121214908764,71.6,28.6,70.6,39.76251214028086,38.04651214028087,1.7160000000000004,0.9563909421395849,0.02805127936460162,0.07063767716256882
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,rastrigin,20,0.1,0.86,0.03,5.0274296578194555,50,5,0.1,64.19630332529934,59.18502395597323,64.4,35.0,63.4,40.061284836064544,37.96128483606454,2.1,0.9469779846224405,0.03153876833207137,0.07208174021823374
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,rastrigin,20,0.2,0.86,0.03,5.0274296578194555,50,5,0.1,62.46700748286187,59.241921452158664,70.2,29.8,69.2,40.741059112012806,38.95305911201281,1.7880000000000003,0.9560351871849629,0.02778853259377681,0.06823010113994865
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,rastrigin,40,0.0,0.86,0.03,5.0274296578194555,50,5,0.1,210.96446639499456,208.3834724547619,89.2,10.4,88.2,44.239843750696494,43.6158437506965,0.6240000000000001,0.9855608142355393,0.023488701147981784,0.0651725373262778
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,rastrigin,40,0.1,0.86,0.03,5.0274296578194555,50,5,0.1,209.4244674969746,205.57282067096185,87.0,6.0,86.2,44.607616578723935,44.247616578723935,0.36000000000000004,0.9915402176685175,0.026423074504189827,0.06843260535279312
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,rastrigin,40,0.2,0.86,0.03,5.0274296578194555,50,5,0.1,207.17368324331667,194.9055399186301,85.6,7.2,84.8,47.048663236330974,46.61666323633097,0.43200000000000005,0.9887878090416956,0.028365499224423496,0.06980635088320705
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,rosenbrock,10,0.0,0.86,0.03,5.0274296578194555,50,50,1.0,20.104253162653336,7.898088827327531,63.1,30.58,62.16,32.36045920866728,30.525659208667278,1.8348000000000004,0.9408016475382932,0.023333644767248026,0.060396776953195834
