method,variant_id,method_instance,function,dimension,noise_sigma,k,r,descent_sharpness,n_runs,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rastrigin,20,0.0,0.9,0.05,2.1072103131565254,50,5,0.1,74.00990291697649,76.44690560904843,53.0,46.8,52.0,40.33735900169199,35.657359001692,4.679999999999999,0.8797165671670888,0.043328665087188016,0.057011285777201826
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rastrigin,20,0.1,0.9,0.05,2.1072103131565254,50,5,0.1,76.65305636893044,74.10884980459805,46.2,51.4,45.2,40.97715154813373,35.83715154813374,5.139999999999999,0.8706124113305618,0.04547643558142942,0.05687816891386852
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rastrigin,20,0.2,0.9,0.05,2.1072103131565254,50,5,0.1,75.60221135619665,75.95996754063997,49.6,50.6,48.6,42.19296027657695,37.132960276576945,5.059999999999999,0.8773550995735958,0.04138127488784127,0.056674572290487425
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rastrigin,40,0.0,0.9,0.05,2.1072103131565254,50,5,0.1,255.88286982721223,250.78958520177375,51.2,42.2,50.2,37.64487411665446,33.42487411665446,4.22,0.8824102974668451,0.04758306993793364,0.05673295204683541
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rastrigin,40,0.1,0.9,0.05,2.1072103131565254,50,5,0.1,262.3188434633261,256.6183869961758,50.0,44.4,49.0,36.81355090743783,32.373550907437824,4.4399999999999995,0.8751465493392736,0.04839454894183025,0.05626207971287114
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rastrigin,40,0.2,0.9,0.05,2.1072103131565254,50,5,0.1,256.9386123966171,250.2455814524108,54.0,42.8,53.0,36.02426451253258,31.744264512532585,4.279999999999999,0.8786831170672944,0.04553908596718194,0.055673643947996586
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rosenbrock,10,0.0,0.9,0.05,2.1072103131565254,50,50,1.0,15.96597979563643,7.9830354848133025,40.6,51.56,39.6,28.514488287247662,23.35848828724767,5.156000000000001,0.8154138779922314,0.04969415691892804,0.05363640455890538
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rosenbrock,10,0.1,0.9,0.05,2.1072103131565254,50,50,1.0,15.160251329611192,7.739738445710378,40.08,52.22,39.08,28.58879714085947,23.36679714085947,5.2219999999999995,0.8129471013429375,0.05088658171354619,0.05370645513882519
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rosenbrock,10,0.2,0.9,0.05,2.1072103131565254,50,50,1.0,17.137667680580133,8.08243167044499,40.2,52.96,39.2,28.503526757094747,23.207526757094747,5.295999999999999,0.8098849255315959,0.049138770740623026,0.05345487833416599
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rosenbrock,20,0.0,0.9,0.05,2.1072103131565254,50,50,1.0,68.36412005922047,30.11163128249007,62.8,33.44,61.82,37.07585677166943,33.73185677166943,3.3440000000000003,0.9078347630234402,0.02903262278659533,0.050812495274036584
